question,option1,option2,answer,prompt,id,prompt_response
"The sheets didn't fit on the bed but were just right for the cot, as the _ was the wrong size.",bed,cot,1,"Question: - The sheets didn't fit on the bed but were just right for the cot, as the _ was the wrong size.
Options: - ['bed', 'cot']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",E8wGwkc12e," ""concepts"": [
  {
    ""name"": ""sheet"",
    ""description"": ""A piece of fabric used to cover a bed or a cot.""
  },
  {
    ""name"": ""bed"",
    ""description"": ""A large piece of furniture for sleeping, typically having a frame, mattress, and bedclothes.""
  },
  {
    ""name"": ""cot"",
    ""description"": ""A lightweight collapsible bed, often used for infants or camping.""
  }
],

""relationships"": [
  {
    ""concept"": ""sheets"",
    ""relationship"": ""did not fit on"",
    ""related_concept"": ""bed"",
    ""description"": ""The sheets were too large to be used on the bed.""
  },
  {
    ""concept"": ""sheets"",
    ""relationship"": ""fit right on"",
    ""related_concept"": ""cot"",
    ""description"": ""The sheets were the correct size for the cot.""
  },
  {
    ""concept"": ""bed"",
    ""relationship"": ""has size that is"",
    ""related_concept"": ""different"",
    ""description"": ""Beds come in various sizes, which can make some sheets unsuitable.""
  },
  {
    ""concept"": ""cot"",
    ""relationship"": ""has size that is"",
    ""related_concept"": ""smaller"",
    ""description"": ""Cots are generally smaller than beds.""
  }
],

{
  ""answer"": ""The sheets fit right for the cot but were not right for the bed."",
  ""reasoning"": ""Based on the concepts and relationships identified, the sheets did not fit on the bed due to its larger size compared to the sheets. However, they fit perfectly on the cot because cots are usually smaller in size. Therefore, the answer is that the sheets fit right for the cot but were not right for the bed.""
}"
James could not believe the monkey can jump down from the tree and now he is looking forward to the top of the crane. The _ is shorter.,tree,crane,1,"Question: - James could not believe the monkey can jump down from the tree and now he is looking forward to the top of the crane. The _ is shorter.
Options: - ['tree', 'crane']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",odEmqtnLCq," ""concepts"": [
  {
    ""name"": ""tree"",
    ""description"": ""A large plant having a single stem or trunk, supporting branches and leaves in most species""
  },
  {
    ""name"": ""crane"",
    ""description"": ""A type of machine, typically consisting of a horizontal boom, vertical mast, cab, and counterweight, used for lifting and lowering heavy objects""
  }
],

""relationships"": [
  {
    ""concept"": ""tree"",
    ""relationship"": ""is the object from which"",
    ""related_concept"": ""James could not believe the monkey could jump down"",
    ""description"": ""James was observing the monkey from the tree""
  },
  {
    ""concept"": ""monkey"",
    ""relationship"": ""can move from"",
    ""related_concept"": ""tree"",
    ""description"": ""Monkeys are able to climb trees and jump between branches""
  },
  {
    ""concept"": ""James"",
    ""relationship"": ""is looking at"",
    ""related_concept"": ""top of crane"",
    ""description"": ""James has shifted his attention to the crane""
  },
  {
    ""concept"": ""crane"",
    ""relationship"": ""is taller than"",
    ""related_concept"": ""tree"",
    ""description"": ""The crane is a larger structure than the tree""
  }
],

{
  ""answer"": ""crane"",
  ""reasoning"": ""Based on the given context, James initially couldn't believe that the monkey could jump down from the tree. However, his focus has since shifted to the top of the crane, implying that the crane is a taller structure than the tree."""
"The knife punctured the throat while deflecting off the bone, since the _ was harder.",throat,bone,2,"Question: - The knife punctured the throat while deflecting off the bone, since the _ was harder.
Options: - ['throat', 'bone']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",0KP93IDscc," ""concepts"": [
  {
    ""name"": ""throat"",
    ""description"": ""A part of the anatomy that is the passageway for food from the mouth to the esophagus""
  },
  {
    ""name"": ""bone"",
    ""description"": ""A hard and rigid part of the body formed of mineralized connective tissue, serving for support, protection, and leverage""
  }
],

""relationships"": [
  {
    ""concept"": ""knife"",
    ""relationship"": ""caused_interaction_with"",
    ""related_concept"": ""throat"",
    ""description"": ""The knife came into contact with the throat""
  },
  {
    ""concept"": ""throat"",
    ""relationship"": ""affected_by"",
    ""related_concept"": ""bone"",
    ""description"": ""The bone made the throat harder than expected, causing the knife to puncture it instead of deflecting off""
  }
],

{
  ""answer"": ""bone"",
  ""reasoning"": ""The bone made the throat harder than expected, causing the knife to puncture it instead of deflecting off""
}"
"Being called for jury duty bothered Joel but not Leslie, as _ felt it was a waste of their time.",Joel,Leslie,1,"Question: - Being called for jury duty bothered Joel but not Leslie, as _ felt it was a waste of their time.
Options: - ['Joel', 'Leslie']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",8b1ygHBaJA," ""concepts"": [
  {
    ""name"": ""Joel"",
    ""description"": ""One of the two individuals mentioned in the question""
  },
  {
    ""name"": ""Leslie"",
    ""description"": ""The other individual mentioned in the question""
  },
  {
    ""name"": ""Jury Duty"",
    ""description"": ""The legal process by which citizens are summoned for the purpose of selecting a jury to hear a case""
  }
],

""relationships"": [
  {
    ""concept"": ""Joel"",
    ""relationship"": ""feels"",
    ""related_concept"": ""Being called for jury duty"",
    ""description"": ""Joel has a feeling towards being called for jury duty""
  },
  {
    ""concept"": ""Leslie"",
    ""relationship"": ""does not feel"",
    ""related_concept"": ""Being called for jury duty"",
    ""description"": ""Leslie does not have a feeling towards being called for jury duty""
  },
  {
    ""concept"": ""Joel"",
    ""relationship"": ""differs from"",
    ""related_concept"": ""Leslie"",
    ""description"": ""Joel and Leslie have different feelings towards being called for jury duty""
  },
  {
    ""concept"": ""Being called for jury duty"",
    ""relationship"": ""is perceived as"",
    ""related_concept"": ""A waste of time"",
    ""description"": ""Some people perceive being called for jury duty as a waste of time""
  },
  {
    ""concept"": ""Joel"",
    ""relationship"": ""perceives"",
    ""related_concept"": ""Being called for jury duty"",
    ""description"": ""as a waste of time"",
    ""Joel's perception of being called for jury duty""
  }
],

{
  ""answer"": ""- Joel"",
  ""reasoning"": ""- Joel feels that being called for jury duty is a waste of his time""
}"
"Jill bought a rock as decoration for the cage, but it didn't work because the _ was too small.",cage,rock,1,"Question: - Jill bought a rock as decoration for the cage, but it didn't work because the _ was too small.
Options: - ['cage', 'rock']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",j1X6noy48j," ""concepts"": [
  {
    ""name"": ""Jill"",
    ""description"": ""The person who bought a rock""
  },
  {
    ""name"": ""cage"",
    ""description"": ""The enclosure where Jill kept something""
  },
  {
    ""name"": ""rock"",
    ""description"": ""A solid object Jill bought for decoration""
  }
],

""relationships"": [
  {
    ""concept"": ""Jill"",
    ""relationship"": ""bought"",
    ""related_concept"": ""rock"",
    ""description"": ""Jill purchased the rock""
  },
  {
    ""concept"": ""rock"",
    ""relationship"": ""didn't fit"",
    ""related_concept"": ""cage"",
    ""description"": ""The rock was too small for the cage""
  },
  {
    ""concept"": ""Jill"",
    ""relationship"": ""had"",
    ""related_concept"": ""cage"",
    ""description"": ""Jill owned or possessed the cage""
  }
],

{
  ""answer"": ""cage"",
  ""reasoning"": ""The text states that Jill bought a rock for the cage, implying that she had a cage for an animal or pet. Since the rock didn't fit, it must be for a cage that is not large enough.""
}"
"There was less chocolate in the cake than in the pie, so the _ was sweeter.",cake,pie,2,"Question: - There was less chocolate in the cake than in the pie, so the _ was sweeter.
Options: - ['cake', 'pie']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",QYPLuYXj5r," ""concepts"": [
  {
    ""name"": ""cake"",
    ""description"": ""A baked food product made from flour, eggs, and milk or water, typically sweetened with sugar and often also containing baking powder or baking soda.""
  },
  {
    ""name"": ""pie"",
    ""description"": ""A savory or sweet dish consisting of filling enclosed in pastry.""
  },
  {
    ""name"": ""chocolate"",
    ""description"": ""A sweet food made from cacao beans, roasted and ground, often mixed with sugar and milk or other ingredients.""
  }
],

""relationships"": [
  {
    ""concept"": ""cake"",
    ""relationship"": ""has less"",
    ""related_concept"": ""chocolate"",
    ""description"": ""Contains less chocolate than another food item.""
  },
  {
    ""concept"": ""pie"",
    ""relationship"": ""has more"",
    ""related_concept"": ""chocolate"",
    ""description"": ""Contains more chocolate than another food item.""
  }
],

{
  ""answer"": ""pie"",
  ""reasoning"": ""Since there is less chocolate in the cake than in the pie, the pie, which contains more chocolate, would be sweeter.""
}"
John ran into the room from the balcony when he started to shiver. The _ is cold.,balcony,room,1,"Question: - John ran into the room from the balcony when he started to shiver. The _ is cold.
Options: - ['balcony', 'room']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",gyU9BB5OeT," ""concepts"": [
  {
    ""name"": ""balcony"",
    ""description"": ""An exterior feature attached to the side of a building, typically providing access to the open air""
  },
  {
    ""name"": ""room"",
    ""description"": ""A space, often enclosed, within a building, used for various purposes""
  }
],

""relationships"": [
  {
    ""concept"": ""balcony"",
    ""relationship"": ""source"",
    ""related_concept"": ""room"",
    ""description"": ""John entered the room from the balcony""
  },
  {
    ""concept"": ""room"",
    ""relationship"": ""location"",
    ""related_concept"": ""cold"",
    ""description"": ""The room was cold""
  }
],

{
  ""answer"": ""room"",
  ""reasoning"": ""John ran into the room after being cold on the balcony""
}"
After reading the book and watching the video I felt I had done everything to prepare for the test.  The _ was more time consuming to read.,book,video,1,"Question: - After reading the book and watching the video I felt I had done everything to prepare for the test.  The _ was more time consuming to read.
Options: - ['book', 'video']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",cTmv0uxQd5," ""concepts"": [
  {
    ""name"": ""Book"",
    ""description"": ""A printed, bound, or scripted work, especially one written as a author's manuscript before being published.""
  },
  {
    ""name"": ""Video"",
    ""description"": ""An electronic medium for the recording, replication, or transmission of moving visual media.""
  },
  {
    ""name"": ""Preparation"",
    ""description"": ""The act of getting ready for something; making arrangements or taking steps beforehand.""
  },
  {
    ""name"": ""Test"",
    ""description"": ""A formal examination of the knowledge or abilities of an individual.""
  }
],

""relationships"": [
  {
    ""concept"": ""Preparation"",
    ""relationship"": ""requires"",
    ""related_concept"": ""Book"",
    ""description"": ""Reading a book is a way to prepare for a test.""
  },
  {
    ""concept"": ""Preparation"",
    ""relationship"": ""requires"",
    ""related_concept"": ""Video"",
    ""description"": ""Watching a video is another way to prepare for a test.""
  },
  {
    ""concept"": ""Book"",
    ""relationship"": ""is_more_time_consuming_than"",
    ""related_concept"": ""Video"",
    ""description"": ""Reading a book takes more time than watching a video.""
  },
  {
    ""concept"": ""Test"",
    ""relationship"": ""is_evaluated_by"",
    ""related_concept"": ""Knowledge"",
    ""description"": ""A test evaluates the knowledge of an individual.""
  },
  {
    ""concept"": ""Preparation"",
    ""relationship"": ""increases_the_chance_of"",
    ""related_concept"": ""Success"",
    ""description"": ""Proper preparation increases the chance of success in a test.""
  }
],

{
  ""answer"": ""Book"",
  ""reasoning"": ""Based on the concepts and relationships identified, the more time-consuming material for preparing for the test is the 'Book'.""
}"
A loofah was a common thing to use in the shower instead of a hand. The _ was ineffective.,loofah,hand,2,"Question: - A loofah was a common thing to use in the shower instead of a hand. The _ was ineffective.
Options: - ['loofah', 'hand']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",b0ryNod9RL," ""concepts"": [
  {
    ""name"": ""loofah"",
    ""description"": ""A type of sponge used for cleansing the body during bathing or showering.""
  },
  {
    ""name"": ""hand"",
    ""description"": ""A human limb, extending from the upper part of the arm to the tips of the fingers, used for grasping and manipulating objects.""
  }
],

""relationships"": [
  {
    ""concept"": ""loofah"",
    ""relationship"": ""alternative"",
    ""related_concept"": ""hand"",
    ""description"": ""A loofah is an alternative tool used instead of hands for cleaning the body during bathing or showering.""
  }
],

""answer"": ""The hand was more effective."",
""reasoning"": ""Based on the given context, the question asks which was ineffective between a loofah and a hand. However, since the sentence states that 'The loofah was ineffective.', the correct answer would be that the loofah was less effective compared to using a hand for cleaning during bathing or showering."""
Amy tripped and ripped her jersey shirt and needed a new shirt. She went to the store to get a T-shirt because the _ is new.,jersey shirt,T-shirt,2,"Question: - Amy tripped and ripped her jersey shirt and needed a new shirt. She went to the store to get a T-shirt because the _ is new.
Options: - ['jersey shirt', 'T-shirt']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",G2u8TgmaU6," ""concepts"": [
  {
    ""name"": ""Amy's jersey shirt"",
    ""description"": ""The torn shirt that Amy was wearing.""
  },
  {
    ""name"": ""T-shirt"",
    ""description"": ""A type of casual shirt without sleeves.""
  }
],

""relationships"": [
  {
    ""concept"": ""Amy's jersey shirt"",
    ""relationship"": ""was"",
    ""related_concept"": ""Amy"",
    ""description"": ""The shirt belonged to Amy.""
  },
  {
    ""concept"": ""Jersey shirt"",
    ""relationship"": ""was"",
    ""related_concept"": ""Amy's old shirt"",
    ""description"": ""The torn shirt that Amy was wearing was her old jersey shirt.""
  },
  {
    ""concept"": ""Amy's jersey shirt"",
    ""relationship"": ""was replaced by"",
    ""related_concept"": ""New shirt"",
    ""description"": ""Amy got a new shirt to replace her torn jersey shirt.""
  },
  {
    ""concept"": ""New shirt"",
    ""relationship"": ""is a"",
    ""related_concept"": ""T-shirt"",
    ""description"": ""Amy bought a new T-shirt to replace her torn jersey shirt.""
  }
],

{
  ""answer"": ""T-shirt"",
  ""reasoning"": ""Based on the context, Amy went to buy a new shirt to replace her torn jersey shirt. A T-shirt is a common type of casual shirt without sleeves, making it a suitable replacement for a jersey shirt.""
}"
"The healthy apples were discarded in favor of the fattening cupcakes, as the _ were delicious to eat.",apples,cupcakes,2,"Question: - The healthy apples were discarded in favor of the fattening cupcakes, as the _ were delicious to eat.
Options: - ['apples', 'cupcakes']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",vyv1di7wPn," ""concepts"": [
  {
    ""name"": ""apples"",
    ""description"": ""A type of fruit that is typically round with a stem at the top and comes in various colors, such as red or green.""
  },
  {
    ""name"": ""cupcakes"",
    ""description"": ""A small cake baked in a paper or foil liner in a muffin tin, often frosted and decorated.""
  }
],

""relationships"": [
  {
    ""concept"": ""person"",
    ""relationship"": ""preferred"",
    ""related_concept"": ""cupcakes"",
    ""description"": ""The person chose to prefer the cupcakes over the apples.""
  },
  {
    ""concept"": ""apples"",
    ""relationship"": ""discarded"",
    ""related_concept"": ""person"",
    ""description"": ""The person discarded the apples.""
  },
  {
    ""concept"": ""apples"",
    ""relationship"": ""replaced by"",
    ""related_concept"": ""cupcakes"",
    ""description"": ""The cupcakes replaced the apples as the chosen food.""
  }
],

""answer"": ""- The person preferred the cupcakes over the apples."",
""reasoning"": ""Based on the given sentence, the person discarded the apples in favor of the cupcakes, indicating that they preferred the cupcakes. Therefore, the answer is that the person preferred the cupcakes over the apples."""
"The ears on the elf were easier to spot than the eyes, and this is because the _ are smaller.",ears,eyes,2,"Question: - The ears on the elf were easier to spot than the eyes, and this is because the _ are smaller.
Options: - ['ears', 'eyes']

All the main real world concepts essential to answer the question are: 
List them down along with one line description
Remember to return the response in a json structure as defined below - 

""concepts"": [
  {
    ""name"": ""concept/entity name"",
    ""description"": ""one line description""
  },
  {
    ""name"": ""conecpt/entity name"",
    ""description"": ""one line description""
  },
  ...
]

[your concepts list]

In manner of ontology, describe the relationship for each concept to the other concepts in the context of the sentence in a structured manner along with one line description for each are:
Remember to return the response in a json structure as defined below -

""relationships"": [
	{
		""concept"": ""concept1"",
		""relationship"": ""relation"",
		""related_concept"": ""concept2"",
		""description"": ""one line description""
	},
	{
		""concept"": ""concept2"",
		""relationship"": ""relation"",
		""related_concept"": ""concept3"",
		""description"": ""one line description""
	},
	....
]
 
[your relationship list]

Provide the answer to the original [Question] from the [Options] and the reasoning for it based on the concepts/entities and their relationships you have identified - 
Remember to follow the following json structure - 
{
  ""answer"": ""your answer"",
  ""reasoning"": ""your reasoning""
}
[your answer]
",oT8DPjy0T7," ""concepts"": [
  {
    ""name"": ""elf's features"",
    ""description"": ""The collection of physical attributes belonging to an elf.""
  },
  {
    ""name"": ""ears"",
    ""description"": ""Anatomical structures found on either side of the head, used for hearing.""
  },
  {
    ""name"": ""eyes"",
    ""description"": ""Organs responsible for sight, located in the forehead between the eyebrows and the temples.""
  }
],

""relationships"": [
  {
    ""concept"": ""elf's features"",
    ""relationship"": ""composed_of"",
    ""related_concept"": ""ears"",
    ""description"": ""Ears are a part of an elf's features.""
  },
  {
    ""concept"": ""elf's features"",
    ""relationship"": ""composed_of"",
    ""related_concept"": ""eyes"",
    ""description"": ""Eyes are a part of an elf's features.""
  },
  {
    ""concept"": ""ears"",
    ""relationship"": ""smaller_than"",
    ""related_concept"": ""eyes"",
    ""description"": ""Ears are generally smaller than eyes.""
  }
],

{
  ""answer"": ""- The ears on the elf were easier to spot than the eyes, and this is because the ears are smaller."",
  ""reasoning"": ""Based on the given options, the correct answer is that the ears on the elf are smaller and easier to spot than the eyes. This is supported by the concepts and relationships identified, which indicate that ears are indeed smaller than eyes and that they can be more easily noticed due to their size.""
}"
